Race,Date,Race,Track,Stage laps,Start time (ET),TV,Radio
*,"Sun., Feb 1",Cook Out Clash,Bowman Gray Stadium,TBA,8:00pm/et,FOX,MRN
*,"Thu., Feb 12",Daytona 500 Duels,Daytona International Speedway,N/A,7:00pm/et,FS1,MRN
1,"Sun., Feb 15",DAYTONA 500,Daytona International Speedway,65/130/200,2:30pm/et,FOX,MRN
2,"Sun., Feb 22",Ambetter Health 400,EchoPark Speedway,60/160/260,3:00pm/et,FOX,PRN
3,"Sun., Mar 1",DuraMAX Grand Prix,Circuit of the Americas,20/45/95,3:30pm/et,FOX,PRN
4,"Sun., Mar 8",Straight Talk Wireless 500,Phoenix Raceway,60/185/312,3:30pm/et,FS1,MRN
5,"Sun., Mar 15",Pennzoil 400,Las Vegas Motor Speedway,80/165/267,4:00pm/et,FS1,PRN
6,"Sun., Mar 22",Goodyear 400,Darlington Raceway,90/185/293,3:00pm/et,FS1,MRN
7,"Sun., Mar 29",Cook Out 400,Martinsville Speedway,80/180/400,3:30pm/et,FS1,MRN
,"Sun., April 5",Easter Bunny 500,OFF WEEK,,,,
8,"Sun, Apr 12",Food City 500,Bristol Motor Speedway,125/250/500,3:00pm/et,FS1,PRN
9,"Sun., Apr 19",AdventHealth 400,Kansas Speedway,80/165/267,2:00pm/et,FOX,MRN
10,"Sun., April 26",Jack Link’s 500,Talladega Superspeedway,60/120/188,3:00pm/et,FOX,MRN
11,"Sun., May 3",Würth 400,Texas Motor Speedway,80/165/267,3:30pm/et,FS1,PRN
12,"Sun., May 10",Go Bowling at the Glen,Watkins Glen International,20/40/90,3:00pm/et,FS1,MRN
,Mother’s Day,,,,,,
*,"Sun., May 17",All-Star Open,Dover Motor Speedway,TBA,TBD,FS1,PRN
*,"Sun., May 17",All-Star Race,Dover Motor Speedway,TBA,3:00pm/et,FS1,PRN
13,"Sun., May 24",Coca-Cola 600,Charlotte Motor Speedway,100/200/300/400,6:00pm/et,Amazon Prime,PRN
14,"Sun., May 31",Cracker Barrel 400,Nashville Superspeedway,90/185/300,7:00pm/et,Amazon Prime,PRN
15,"Sun., Jun 7",FireKeepers Casino 400,Michigan International Speedway,45/120/200,3:00pm/et,Amazon Prime,MRN
16,"Sun., Jun 14",Great American Getaway 400,Pocono Raceway,30/95/160,3:00pm/et,Amazon Prime,MRN
17,"Sun., Jun 21",Anduril 250 Race the Base,Naval Base Coronado,TBA,4:00pm/et,Amazon Prime,MRN
,Father’s Day,,,,,,
18,"Sun., Jun 28",Toyota / Save Mart 350,Sonoma Raceway,25/55/110,3:30pm/et,TNT Sports,PRN
19,"Sun., Jul 5",TBA 400,Chicagoland Speedway,80/165/267,6:00pm/et,TNT Sports,MRN
20,"Sun., Jul 12",Quaker State 400,EchoPark Speedway,60/160/260,7:00pm/et,TNT Sports,PRN
21,"Sun., Jul 19",Window World 450,North Wilkesboro Speedway,TBA,7:00pm/et,TNT Sports,PRN
22,"Sun., Jul 26",Brickyard 400,Indianapolis Motor Speedway,50/100/160,2:00pm/et,TNT Sports,Ims Radio Network Logo 50x35
,"Sun., Aug 2",Summer Break 400,OFF WEEK,,,,
23,"Sun., Aug 9",Iowa Corn 350,Iowa Speedway,70/210/350,3:30pm/et,USA Network,MRN
24,"Sat., Aug 15",Cook Out 400,Richmond Raceway,70/230/400,7:00pm/et,USA Network,MRN
25,"Sun., Aug 23",USA Today 301,New Hampshire Motor Speedway,70/185/301,3:00pm/et,USA Network,PRN
26,"Sat., Aug 29",Coke Zero Sugar 400,Daytona International Speedway,35/95/160,7:30pm/et,NBC,MRN
The Chase Begins,,,,,,,
27,"Sun., Sep 6",Cook Out Southern 500,Darlington Raceway,115/230/367,5:00pm/et,USA Network,MRN
28,Sun. Sep 13,Enjoy Illinois 300,World Wide Technology Raceway,45/140/240,3:00pm/et,USA Network,MRN
29,"Sat., Sep 19",Bass Pro Shops Night Race,Bristol Motor Speedway,125/250/500,7:30pm/et,USA Network,PRN
30,"Sun., Sep 27",Hollywood Casino 400,Kansas Speedway,80/165/267,3:00pm/et,USA Network,MRN
31,"Sun., Oct 4",South Point 400,Las Vegas Motor Speedway,80/165/267,5:30pm/et,USA Network,PRN
32,"Sun., Oct 11",Bank of America ROVAL 400,Charlotte Motor Speedway ROVAL,25/50/109,3:00pm/et,USA Network,PRN
33,"Sun., Oct 18",TBA,Phoenix Raceway,60/185/312,3:00pm/et,USA Network,MRN
34,"Sun., Oct 25",YellaWood 500,Talladega Superspeedway,60/120/188,2:00pm/et,NBC,MRN
35,"Sun., Nov 1",Xfinity 500,Martinsville Speedway,130/260/500,2:00pm/et,NBC,MRN
36,"Sun., Nov 8",NASCAR Cup Series Championship,Homestead-Miami Speedway,80/165/267,3:00pm/et,NBC,MRN